"Stec ID","Trace ID"
"132360","P,T"
"132361","P,T"
"132362","P,T"
"132365","P,T"
"132400","P,T"
"132401","P,T"
"132402","P,T"
"132403","P,T"
"132404","P,T"
"132412","P,T"
"132413","P,T"
"132414","P,T"
"132433","P,T"
"132434","P,T"
"132452","P,T"
"132490","P,T"
"132491","P,T"
"132492","P,T"
"132510","P,T"
"132511","P,T"
"132512","P,T"
"132521","P,T"
"132522","P,T"
"132542","P,T"
"132601","P,T"
"132602","P,T"
"132760","P,T"
"132761","P,T"
"132943","P,T"
"133146","P,T"
"133147","P,T"
"133148","P,T"
"133149","P,T"
"133233","P,T"
"133234","P,T"
"133235","P,T"
"133236","P,T"
"132358","P,T"
"132392","P,T"
"132393","P,T"
"132394","P,T"
"132395","P,T"
"132396","P,T"
"132397","P,T"
"132398","P,T"
"132399","P,T"
"132405","P,T"
"132406","P,T"
"132407","P,T"
"132408","P,T"
"132409","P,T"
"132410","P,T"
"132411","P,T"
"132435","P,T"
"132437","P,T"
"132438","P,T"
"132439","P,T"
"132446","P,T"
"132447","P,T"
"132448","P,T"
"132449","P,T"
"132450","P,T"
"132451","P,T"
"132453","P,T"
"132473","P,T"
"132474","P,T"
"132475","P,T"
"132476","P,T"
"132477","P,T"
"132478","P,T"
"132493","P,T"
"132494","P,T"
"132513","P,T"
"132514","P,T"
"132515","P,T"
"132523","P,T"
"132541","P,T"
"132543","P,T"
"132549","P,T"
"132604","P,T"
"132606","P,T"
"132614","P,T"
"132615","P,T"
"132800","P,T"
"132801","P,T"
"133073","P,T"
"133150","P,T"
"133151","P,T"
"133152","P,T"
"133237","P,T"
"133261","P,T"
"133269","P,T"
"132418","P,T"
"132419","P,T"
"132455","P,T"
"132458","P,T"
"132459","P,T"
"132460","P,T"
"132461","P,T"
"132479","P,T"
"132480","P,T"
"132481","P,T"
"132483","P,T"
"132484","P,T"
"132485","P,T"
"132486","P,T"
"132487","P,T"
"132488","P,T"
"132489","P,T"
"132499","P,T"
"132500","P,T"
"132516","P,T"
"132524","P,T"
"132525","P,T"
"132529","P,T"
"132605","P,T"
"132607","P,T"
"132616","P,T"
"132617","P,T"
"132618","P,T"
"132653","P,T"
"133074","P,T"
"133075","P,T"
"133153","P,T"
"133154","P,T"
"133155","P,T"
"133267","P,T"
"133271","P,T"
"133275","P,T"
"132495","P,T"
"132496","P,T"
"132497","P,T"
"132498","P,T"
"132501","P,T"
"132502","P,T"
"132527","P,T"
"132528","P,T"
"132530","P,T"
"132531","P,T"
"132532","P,T"
"132533","P,T"
"132534","P,T"
"132535","P,T"
"132536","P,T"
"132537","P,T"
"132538","P,T"
"132539","P,T"
"132540","P,T"
"132544","P,T"
"132545","P,T"
"132546","P,T"
"132547","P,T"
"132548","P,T"
"132579","P,T"
"132580","P,T"
"132585","P,T"
"132586","P,T"
"132609","P,T"
"132613","P,T"
"132619","P,T"
"132620","P,T"
"132762","P,T"
"132763","P,T"
"132802","P,T"
"132818","P,T"
"132819","P,T"
"132822","P,T"
"132823","P,T"
"133034","P,T"
"133076","P,T"
"133077","P,T"
"133078","P,T"
"133079","P,T"
"133082","P,T"
"133156","P,T"
"133157","P,T"
"133158","P,T"
"133159","P,T"
"133160","P,T"
"133161","P,T"
"133162","P,T"
"133278","P,T"
"132526","P,T"
"132559","P,T"
"132560","P,T"
"132561","P,T"
"132562","P,T"
"132563","P,T"
"132587","P,T"
"132610","P,T"
"132611","P,T"
"132612","P,T"
"132621","P,T"
"132641","P,T"
"132642","P,T"
"132654","P,T"
"132655","P,T"
"132656","P,T"
"132657","P,T"
"132658","P,T"
"132664","P,T"
"132764","P,T"
"132765","P,T"
"132811","P,T"
"132812","P,T"
"132828","P,T"
"132914","P,T"
"132934","P,T"
"132976","P,T"
"133163","P,T"
"133164","P,T"
"133165","P,T"
"133166","P,T"
"133167","P,T"
"133168","P,T"
"133279","P,T"
"133343","P,T"
"133424","P,T"
"132581","P,T"
"132582","P,T"
"132583","P,T"
"132584","P,T"
"132623","P,T"
"132624","P,T"
"132625","P,T"
"132626","P,T"
"132628","P,T"
"132629","P,T"
"132630","P,T"
"132631","P,T"
"132632","P,T"
"132633","P,T"
"132634","P,T"
"132635","P,T"
"132643","P,T"
"132644","P,T"
"132645","P,T"
"132646","P,T"
"132647","P,T"
"132648","P,T"
"132649","P,T"
"132686","P,T"
"132687","P,T"
"132689","P,T"
"132690","P,T"
"132699","P,T"
"132766","P,T"
"132767","P,T"
"132768","P,T"
"132803","P,T"
"132804","P,T"
"132805","P,T"
"132813","P,T"
"132814","P,T"
"132829","P,T"
"132830","P,T"
"132845","P,T"
"132859","P,T"
"132921","P,T"
"132977","P,T"
"133035","P,T"
"133036","P,T"
"133037","P,T"
"133169","P,T"
"133170","P,T"
"133171","P,T"
"133172","P,T"
"133173","P,T"
"133174","P,T"
"133175","P,T"
"133344","P,T"
"132636","P,T"
"132637","P,T"
"132638","P,T"
"132639","P,T"
"132640","P,T"
"132650","P,T"
"132651","P,T"
"132652","P,T"
"132659","P,T"
